Hours_Studied,Attendance,Previous_Scores,Motivation_Level,Family_Income,Teacher_Quality,School_Type,Parental_Education_Level,Exam_Score
23,84,73,Low,Low,Medium,Public,High School,67
19,64,59,Low,Medium,Medium,Public,College,61
24,98,91,Medium,Medium,Medium,Public,Postgraduate,74
29,89,98,Medium,Medium,Medium,Public,High School,71
19,92,65,Medium,Medium,High,Public,College,70
19,88,89,Medium,Medium,Medium,Public,Postgraduate,71
29,84,68,Low,Low,Medium,Private,High School,67
25,78,50,Medium,High,High,Public,High School,66
17,94,80,High,Medium,Low,Private,College,69
23,98,71,Medium,High,High,Public,High School,72
17,80,88,Medium,Medium,High,Private,College,68
17,97,87,Low,Low,High,Private,High School,71
21,83,97,Low,Medium,Medium,Public,High School,70
9,82,72,Medium,Medium,Medium,Private,Postgraduate,66
10,78,74,Medium,Low,Medium,Private,Postgraduate,65
17,68,70,Medium,Medium,Medium,Private,High School,64
14,60,65,Low,High,Medium,Private,College,60
22,70,82,Medium,Low,High,Public,High School,65
15,80,91,Low,Low,Medium,Public,College,67
12,75,58,Medium,Medium,Medium,Private,College,66
29,78,99,High,High,Medium,Public,High School,69
19,99,84,Medium,Medium,High,Public,High School,72
20,74,89,Low,Medium,Medium,Public,College,66
11,78,100,High,Low,Medium,Public,High School,66
17,65,75,Medium,Low,Medium,Public,High School,63
21,62,54,High,High,High,Public,Postgraduate,64
13,91,90,Medium,High,Medium,Public,High School,65
22,83,94,Medium,High,Medium,Public,College,71
16,90,58,Medium,Low,Medium,Public,High School,66
18,66,51,Low,Low,Medium,Private,College,64
16,83,57,Medium,High,Low,Public,High School,63
31,70,66,Medium,High,Medium,Public,College,69
20,69,96,Medium,Medium,High,Public,High School,67
14,60,50,Medium,Medium,Medium,Public,College,61
25,65,90,Medium,Medium,Medium,Public,College,68
13,72,93,Low,Low,Medium,Public,High School,61
21,65,91,Low,Medium,High,Public,High School,64
8,99,54,Low,Low,Medium,Public,Postgraduate,67
12,72,84,Medium,Low,Medium,Public,High School,63
21,65,98,Low,Medium,High,Public,High School,64
24,68,56,Low,High,High,Public,College,67
21,84,52,Low,Medium,High,Public,College,65
19,63,94,Medium,Medium,Medium,Private,High School,64
18,94,82,Medium,Medium,Medium,Private,College,70
11,98,82,Low,Medium,Medium,Private,Postgraduate,68
16,70,98,Medium,Medium,Medium,Public,High School,65
17,78,88,Medium,Medium,High,Private,College,68
26,61,70,Medium,Low,Medium,Public,High School,64
22,86,72,Low,Low,High,Public,High School,68
9,77,57,Medium,Medium,High,Public,High School,63
22,71,65,Low,Medium,Low,Public,College,64
18,68,72,Medium,Medium,Medium,Public,College,64
16,86,63,Medium,Medium,Medium,Public,High School,67
24,77,96,Medium,Medium,Medium,Public,High School,67
26,67,51,Low,High,High,Private,Postgraduate,66
26,88,79,Medium,Low,High,Private,College,72
15,83,89,Low,Medium,High,Public,High School,65
18,94,87,High,Medium,Medium,Public,High School,71
22,65,82,Medium,Medium,High,Public,Postgraduate,66
26,91,71,Medium,Low,Medium,Private,High School,68
17,87,96,Medium,High,Medium,Public,Postgraduate,70
19,65,66,Low,Low,Medium,Public,High School,62
13,88,88,High,Low,High,Private,Postgraduate,68
13,78,96,High,Low,Medium,Public,College,67
25,98,56,Medium,Medium,High,Private,Postgraduate,71
28,66,97,Medium,Medium,Medium,Public,High School,68
20,86,89,Medium,Low,Medium,Public,Postgraduate,69
26,75,81,High,Medium,High,Private,High School,70
22,98,69,Low,Low,High,Public,High School,69
16,73,95,Medium,Low,Medium,Public,College,65
22,98,52,Medium,Medium,Medium,Public,College,70
29,96,72,Medium,Low,Medium,Public,High School,71
20,71,88,Medium,Low,Low,Public,College,65
29,92,91,Medium,Medium,Medium,Public,Postgraduate,72
4,100,60,High,Medium,High,Private,College,69
25,70,52,Medium,Medium,Medium,Public,Postgraduate,66
21,77,90,Medium,Medium,Medium,Private,Postgraduate,68
18,81,71,Medium,Medium,Medium,Public,High School,65
21,72,57,Medium,High,Medium,Public,College,64
8,61,54,Medium,High,Medium,Public,College,60
19,69,82,High,Low,Medium,Public,High School,65
22,71,79,High,Low,Low,Public,High School,66
29,78,93,Low,Medium,High,Public,College,74
17,67,52,High,Medium,Medium,Private,High School,62
