"Hours_Studied","Attendance","Previous_Scores","Motivation_Level","Family_Income","Teacher_Quality","School_Type","Parental_Education_Level","Exam_Score","gruppi","Previous_Level","Score_Groups","Study_level"
23,84,73,"Low","Low","Medium","Public","High School",67,"21-30","2","2","3"
19,64,59,"Low","Medium","Medium","Public","College",61,"11-20","1","1","2"
24,98,91,"Medium","Medium","Medium","Public","Postgraduate",74,"21-30","3","3","3"
29,89,98,"Medium","Medium","Medium","Public","High School",71,"21-30","3","3","3"
19,92,65,"Medium","Medium","High","Public","College",70,"11-20","2","3","2"
19,88,89,"Medium","Medium","Medium","Public","Postgraduate",71,"11-20","3","3","2"
29,84,68,"Low","Low","Medium","Private","High School",67,"21-30","2","2","3"
25,78,50,"Medium","High","High","Public","High School",66,"21-30","1","2","3"
17,94,80,"High","Medium","Low","Private","College",69,"11-20","2","2","2"
23,98,71,"Medium","High","High","Public","High School",72,"21-30","2","3","3"
17,80,88,"Medium","Medium","High","Private","College",68,"11-20","3","2","2"
17,97,87,"Low","Low","High","Private","High School",71,"11-20","2","3","2"
21,83,97,"Low","Medium","Medium","Public","High School",70,"21-30","3","3","3"
9,82,72,"Medium","Medium","Medium","Private","Postgraduate",66,"0-10","2","2","1"
10,78,74,"Medium","Low","Medium","Private","Postgraduate",65,"0-10","2","1","2"
17,68,70,"Medium","Medium","Medium","Private","High School",64,"11-20","2","1","2"
14,60,65,"Low","High","Medium","Private","College",60,"11-20","2","1","2"
22,70,82,"Medium","Low","High","Public","High School",65,"21-30","2","1","3"
15,80,91,"Low","Low","Medium","Public","College",67,"11-20","3","2","2"
12,75,58,"Medium","Medium","Medium","Private","College",66,"11-20","1","2","2"
29,78,99,"High","High","Medium","Public","High School",69,"21-30","3","2","3"
19,99,84,"Medium","Medium","High","Public","High School",72,"11-20","2","3","2"
20,74,89,"Low","Medium","Medium","Public","College",66,"11-20","3","2","3"
11,78,100,"High","Low","Medium","Public","High School",66,"11-20","3","2","2"
17,65,75,"Medium","Low","Medium","Public","High School",63,"11-20","2","1","2"
21,62,54,"High","High","High","Public","Postgraduate",64,"21-30","1","1","3"
13,91,90,"Medium","High","Medium","Public","High School",65,"11-20","3","1","2"
22,83,94,"Medium","High","Medium","Public","College",71,"21-30","3","3","3"
16,90,58,"Medium","Low","Medium","Public","High School",66,"11-20","1","2","2"
18,66,51,"Low","Low","Medium","Private","College",64,"11-20","1","1","2"
16,83,57,"Medium","High","Low","Public","High School",63,"11-20","1","1","2"
31,70,66,"Medium","High","Medium","Public","College",69,"30+","2","2","4"
20,69,96,"Medium","Medium","High","Public","High School",67,"11-20","3","2","3"
14,60,50,"Medium","Medium","Medium","Public","College",61,"11-20","1","1","2"
